Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
zm_alien_isolation__alarm_alt,,,zm_alien_isolation\NEW\ENV\SPOT_Alarm_AirLock_RePressure_BB_A_01.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__alarm_alt2,,,zm_alien_isolation\NEW\ENV\SPOT_Alarm_M09_Short_A_HP_01.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__alt_final_action_cut,,,zm_alien_isolation\NEW\MUS\MS9_Action_Loop_JVD.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__dockingclamp_amb,,,zm_alien_isolation\NEW\SFX\TowPlat_DockClamp\extend.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__dockingclamp_done,,,zm_alien_isolation\NEW\SFX\TowPlat_DockClamp\A1_M3301_SGF_2138.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__shutter_opening,,,zm_alien_isolation\NEW\DOORS\GATE_Open_lrg.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__sft_theme,,,zm_alien_isolation\NEW\MUS\EmptyReception.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__post_lockdown_theme,,,zm_alien_isolation\NEW\MUS\AfterLockdown.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__endgame_sting,,,zm_alien_isolation\NEW\MUS\EndgameSting.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__open_adverts,,,zm_alien_isolation\NEW\MUS\UseTelescope.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__tow_custom_perk,,,zm_alien_isolation\NEW\MUS\MOMENT_PICKUP_01.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__tow_monitor_change,,,zm_alien_isolation\NEW\ENV\CNS_COMP_Boot.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__tow_monitor_changed,,,zm_alien_isolation\NEW\ENV\BEEP_001.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__torrens_theme_wakeup,,,zm_alien_isolation\NEW\MUS\torrens\rip_theme.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__cs_wakeup,,,zm_alien_isolation\NEW\MUS\cutscene_wakeup.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__cs_torrensintro,,,zm_alien_isolation\NEW\MUS\cutscene_intro.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__cs_torrens2sev,,,zm_alien_isolation\NEW\MUS\cutscene_torrens2sev.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__arrive_on_sevastopol,,,zm_alien_isolation\gameintro.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__torrens_signin,,,zm_alien_isolation\NEW\ENV\TORRENS\ScriptedEnv\signinkey.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__torrens_get_to_bridge,,,zm_alien_isolation\NEW\SFX\Torrens_Dialogue\A1_M0101_VER_7557.wav,,,UIN_MOD,,,,,,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AMBIENT SOUNDS FOR SCRIPTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambient_cctvroom,,,zm_alien_isolation\serverroom.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambient_gametheme_1,,,zm_alien_isolation\NEW\ENV\GameMachines\DinkyKing.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambient_gametheme_2,,,zm_alien_isolation\NEW\ENV\GameMachines\Dragon_Gauntlet.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambient_gametheme_3,,,zm_alien_isolation\NEW\ENV\GameMachines\Dragon_Gauntlet_Chiptune.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambient_gametheme_4,,,zm_alien_isolation\NEW\ENV\GameMachines\PowerUp.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambient_gametheme_5,,,zm_alien_isolation\NEW\ENV\GameMachines\SuperMooria.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__transit_button,,,zm_alien_isolation\NEW\SFX\transit_button.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,100,100,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ROBO TOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_1,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_1.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_2,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_2.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_3,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_3.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_4,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_4.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_5,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_6.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_6,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_7.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_7,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_8.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_robotoy_8,,,zm_alien_isolation\NEW\SFX\ROBO_Toy\ROBO_Toy_9.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2D AMBIENCES (NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambience_lift,,,zm_alien_isolation\NEW\ENV\AMB_Lift_Generic.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambience_workshop,,,zm_alien_isolation\NEW\ENV\AMB_ENG_Workshop_B_HP_01.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambience_prison,,,zm_alien_isolation\NEW\ENV\AMB_Prison.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation_ambience_mediumroom,,,zm_alien_isolation\NEW\ENV\AMB_TechHub_RoomMedium_A_HP_01.wav,,,UIN_MOD,,,,,BUS_FX,,,,,,80,80,50,400,401,,,,,3,oldest,,,1,1,,,,,,3d,wpn_all,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AIRLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_intro,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_6742.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_0percent,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_8351.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_25percent,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_5406.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_50percent,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_8006.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_75percent,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_7095.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_complete,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_6596.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_standclear,,,zm_alien_isolation\NEW\SFX\TowPlat_Airlock\A1_M1404_SGF_8650.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__airlock_theme,,,zm_alien_isolation\NEW\MUS\A1_MS7_M21_Traversal.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TOWPLATFORM VERLAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__verlaine_activate_clamps,,,zm_alien_isolation\NEW\SFX\TowPlat_Dialogue\Verlaine\ver_custom_mix.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__verlaine_hurry_up,,,zm_alien_isolation\NEW\SFX\TowPlat_Dialogue\Verlaine\A1_M3301_VER_0050.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zm_alien_isolation__verlaine_get_to_airlock,,,zm_alien_isolation\NEW\SFX\TowPlat_Dialogue\Verlaine\A1_M3301_VER_0340.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FOR ROUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_roundend1_intro,,,zm_alien_isolation\blank.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# mus_roundstart_first_intro,,,zm_alien_isolation\gameintro.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_roundstart_first_intro,,,zm_alien_isolation\blank.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_roundstart1_intro,,,zm_alien_isolation\intermission.wav,,,UIN_MOD,,,,,BUS_MUSIC,,,,,,100,100,,,,,,,,2,oldest,,,1,1,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
